Question number,Question,language,Type,Categorie,LLM,answer,correctness,relevance,specificity
1G,Was ist der Stellenwert von PRRT innerhalb GEP-NET ,german,general,therapy,human,laut ENETS und NCCN  Guidelines wird PRRT eingesetzt nach evorolimus,,,
1E,What is the role of PRRT in GEP-NET?,english,general,therapy,human,"According to ENETS and NCCN guidelines, PRRT is used after evorolimus",,,
2G,Für welche Indikationen ist PRRT zugelassen?,german,specific,therapy,human,PRRT ist für die Verwendung in G1 und G2 GE-NET zugelassen,,,
2E,For which indication is PRRT approved?,english,specific,therapy,human,PRRT is approved for use in G1 and G2 GE-NET,,,
3G,Welche Rolle spielt PRRT im chirurgischen Setting bei GEP-NET?,german,specific,therapy,human,Derzeit wird die PRRT in der neoadjuvanten Phase eingesetzt,,,
3E,What is the place of using PRRT in the surgical setting in GEP-NET?,english,specific,therapy,human,Currently PRRT is used in neo-adjuvant setting,,,
4G,Was ist Peptidrezeptor-Radionuklid-Therapie (PRRT)?,german,general,definition,human,Die Peptidrezeptor-Radionuklidtherapie (PRRT) ist eine sehr gezielte und wirksame Form der radiopharmazeutischen Therapie (RPT) mit minimalen Nebenwirkungen zur Behandlung von NETs mit einer Fülle (oder Überexpression) von Somatostatinrezeptoren,,,
4E,What is Peptide Receptor Radionuclide Therapy (PRRT)?,english,general,definition,human,Peptide Receptor Radionuclide Therapy (PRRT) is a highly targeted and effective form of radiopharmaceutical therapy (RPT) with minimal side effects for treating NETs with an abundance (or overexpression) of somatostatin receptor,,,
5G,Wie viele PRRT-Behandlungen kann man bekommen?,german,specific,therapy,human,Das gängigste Protokoll umfasst eine Serie von vier PRRT-Behandlungen mit 177Lu-DOTATATE im Abstand von etwa 8 Wochen,,,
5E,How many PRRT treatments can you have,english,specific,therapy,human,The most common protocol includes a series of four PRRT treatments with 177Lu-DOTATATE spaced approximately 8 weeks apart,,,
6G,Wie viel kostet eine Behandlung mit PRRT?,german,specific,cost,human,"Die Kosten einer PRRT-Behandlung können stark variieren und hängen von verschiedenen faktoren ab, wie z.B. Art und Stadium der Erkrankung, Dosierung der Strahlung, Anzahl der Therapien, Klinik und Krankenhaus, Land; In Deutschland liegen die Kosten einer PRRT-Behandlung durchschnittlich zwischen 20.000 und 50.000 Euro. Die Kosten für die PRRT werden in Deutschland i.d.R. von den Krankenkassen übernommen. Diese müssen jedoch vor Beginn der Therapie einen Kostenübernahmeantrag genehmigen. ",,,
6E,How much does a PRRT treatment cost?,english,specific,cost,human,"The costs of PRRT treatment can vary greatly and depend on various factors, such as the type and stage of the disease, radiation dosage, number of therapies, clinic and hospital, country; in Germany, the average cost of PRRT treatment is between 20,000 and 50,000 euros. The costs for PRRT are generally covered by health insurance companies in Germany. However, they must approve an application for cost coverage before the therapy begins. ",,,
7G,Welche Isotope werden für die Therapie und welche für die Diagnistik der PRRT eingesetzt?,german,specific,therapy,human,"Therapie: 177Lu-Dotatoc, 90Y-Dotatoc, 111In-DTPA.Octreotide; Diagnostik: 68Ga-Dotatoc, 111In-DTPA-Octreotide",,,
